DATE,USACPIALLMINMEI,USACPIALLMINMEI %,CPIAUCSL,CPIAUCSL %,PCEPILFE,PCEPILFE %
1/1/1960,12.36198247,,29.37,,17.033,
2/1/1960,12.40417354,,29.41,,17.065,
3/1/1960,12.40417354,,29.41,,17.067,
4/1/1960,12.44636461,,29.54,,17.098,
5/1/1960,12.44636461,,29.57,,17.125,
6/1/1960,12.48855567,,29.61,,17.136,
7/1/1960,12.48855567,,29.55,,17.166,
8/1/1960,12.48855567,,29.61,,17.191,
9/1/1960,12.48855567,,29.61,,17.204,
10/1/1960,12.57293781,,29.75,,17.214,
11/1/1960,12.57293781,,29.78,,17.26,
12/1/1960,12.57293781,,29.81,,17.255,
1/1/1961,12.57293781,1.71%,29.84,1.60%,17.259,1.33%
2/1/1961,12.57293781,1.36%,29.84,1.46%,17.276,1.24%
3/1/1961,12.57293781,1.36%,29.84,1.46%,17.282,1.26%
4/1/1961,12.57293781,1.02%,29.81,0.91%,17.306,1.22%
5/1/1961,12.57293781,1.02%,29.84,0.91%,17.328,1.19%
6/1/1961,12.57293781,0.68%,29.84,0.78%,17.354,1.27%
7/1/1961,12.65731994,1.35%,29.92,1.25%,17.381,1.25%
8/1/1961,12.61512887,1.01%,29.94,1.11%,17.399,1.21%
9/1/1961,12.65731994,1.35%,29.98,1.25%,17.434,1.34%
10/1/1961,12.65731994,0.67%,29.98,0.77%,17.44,1.31%
11/1/1961,12.65731994,0.67%,29.98,0.67%,17.443,1.06%
12/1/1961,12.65731994,0.67%,30.01,0.67%,17.458,1.18%
1/1/1962,12.65731994,0.67%,30.04,0.67%,17.478,1.27%
2/1/1962,12.69951101,1.01%,30.11,0.90%,17.507,1.34%
3/1/1962,12.69951101,1.01%,30.17,1.11%,17.548,1.54%
4/1/1962,12.74170207,1.34%,30.21,1.34%,17.551,1.42%
5/1/1962,12.74170207,1.34%,30.24,1.34%,17.576,1.43%
6/1/1962,12.74170207,1.34%,30.21,1.24%,17.608,1.46%
7/1/1962,12.78389314,1.00%,30.22,1.00%,17.623,1.39%
8/1/1962,12.78389314,1.34%,30.28,1.14%,17.626,1.30%
9/1/1962,12.8260842,1.33%,30.42,1.47%,17.66,1.30%
10/1/1962,12.8260842,1.33%,30.38,1.33%,17.659,1.26%
11/1/1962,12.8260842,1.33%,30.38,1.33%,17.672,1.31%
12/1/1962,12.8260842,1.33%,30.38,1.23%,17.677,1.25%
1/1/1963,12.8260842,1.33%,30.44,1.33%,17.711,1.33%
2/1/1963,12.8260842,1.00%,30.48,1.23%,17.731,1.28%
3/1/1963,12.86827527,1.33%,30.51,1.13%,17.742,1.11%
4/1/1963,12.86827527,0.99%,30.48,0.89%,17.763,1.21%
5/1/1963,12.86827527,0.99%,30.51,0.89%,17.795,1.25%
6/1/1963,12.91046634,1.32%,30.61,1.32%,17.826,1.24%
7/1/1963,12.9526574,1.32%,30.69,1.56%,17.842,1.24%
8/1/1963,12.9526574,1.32%,30.75,1.55%,17.858,1.32%
9/1/1963,12.9526574,0.99%,30.72,0.99%,17.89,1.30%
