"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
"[Millions of dollars; quarters and months are seasonally adjusted at annual rates]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 24, 2021 - Next Release Date December 22, 2021"
"Line","","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3"
"1","            Personal consumption expenditures",14155552,14375722,14529480,14653949,14439089,12989729,14293832,14467611,15005444,15681699,15952352
"2","Goods",4382806,4479375,4512708,4540784,4530935,4349912,4867188,4867251,5245025,5529790,5505874
"3","    Durable goods",1473292,1509231,1531434,1539183,1484907,1468253,1753295,1759179,1957840,2092153,1995921
"4","        Motor vehicles and parts",500073,512560,518995,526552,481961,485209,595791,602099,674905,758055,668113
"5","            New motor vehicles (55)",272052,285724,293396,291970,263060,257161,318107,333306,372843,402623,321334
"6","                New autos",58796,57594,54504,54677,46312,37537,51029,52223,52176,58937,54650
"7","                    New domestic autos",43144,42051,39574,40476,34118,27642,38527,39134,37328,42857,39876
"8","                    New foreign autos",15652,15543,14929,14201,12194,9895,12502,13089,14848,16079,14774
"9","                New light trucks",213257,228130,238892,237293,216748,219624,267078,281083,320667,343686,266684
"10","            Net purchases of used motor vehicles (56)",151547,149002,147175,155898,143986,150826,192072,184746,209696,257311,252192
"11","                Used autos",48903,46365,42549,41657,35863,34029,41901,39863,44417,55453,53336
"12","                    Net transactions in used autos",21057,18986,16602,15529,12963,11924,14239,13413,14855,18407,17725
"13","                    Used auto margin",29581,29114,27682,27863,24635,23840,29397,28185,31298,38781,37346
"14","                    Employee reimbursement",-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"15","                Used light trucks",102644,102638,104626,114241,108124,116797,150171,144883,165279,201858,198856
"16","                    Net transactions in used trucks",70621,70867,73034,81115,78282,85947,111487,108052,123344,150642,148402
"17","                    Used truck margin",32023,31771,31592,33125,29842,30851,38684,36831,41935,51216,50454
"18","            Motor vehicle parts and accessories (58)",76474,77833,78424,78684,74915,77221,85612,84046,92365,98120,94587
"19","                Tires",32124,32356,32438,32592,31384,32042,35150,34129,37989,40022,39113
"20","                Accessories and parts",44350,45477,45985,46092,43531,45180,50463,49917,54377,58099,55474
"21","        Furnishings and durable household equipment",351812,359974,364473,364537,365707,361205,419261,415356,461914,473689,468950
"22","            Furniture and furnishings (parts of 31 and 32)",221539,228033,230679,230500,229913,223318,264685,263627,294075,301205,297624
"23","                Furniture",130123,135604,137874,137536,136296,134153,160712,159433,178760,182403,178792
"24","                Clocks, lamps, lighting fixtures, and other household decorative items",44199,45367,45715,45532,44988,42557,50787,50131,55109,57358,57941
"25","                Carpets and other floor coverings",25002,24419,24192,24337,25294,23599,27421,28354,31648,32158,31501
"26","                Window coverings",22215,22643,22897,23094,23335,23008,25766,25709,28559,29286,29390
"27","            Household appliances (part of 33)",56302,57345,58407,58420,58815,60856,68030,65887,73754,76083,75540
"28","                Major household appliances",47346,48222,49205,49221,49407,50997,57389,55490,62383,64424,63802
"29","                Small electric household appliances",8956,9124,9202,9199,9408,9860,10641,10397,11371,11659,11739
"30","            Glassware, tableware, and household utensils (34)",41669,42463,43089,43058,42775,40259,48345,47335,51472,53652,54220
"31","                Dishes and flatware",19402,19772,20063,20049,19917,18746,22511,22040,23967,24982,25246
"32","                Nonelectric cookware and tableware",22267,22691,23025,23009,22858,21513,25834,25295,27506,28670,28974
"33","            Tools and equipment for house and garden (35)",32303,32132,32299,32558,34205,36772,38201,38507,42612,42750,41566
"34","                Tools, hardware, and supplies",27933,27809,27916,28127,29578,31775,33023,33311,36896,37016,35920
"35","                Outdoor equipment and supplies",4369,4323,4383,4432,4627,4996,5179,5196,5716,5734,5646
"36","        Recreational goods and vehicles",406800,419504,428585,428815,428724,457986,509485,508671,559362,580828,575086
"37","            Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",244351,254161,259956,260584,263406,271965,302114,297839,328898,339768,336363
"38","                Video and audio equipment",88287,92134,93952,94238,95637,95067,105933,104914,115684,119434,119223
"39","                    Televisions",32541,33471,34422,34987,35384,34238,38915,38318,42589,44127,44211
"40","                    Other video equipment",14616,14587,14639,14709,14980,15297,16836,16634,18353,18935,18804
"41","                    Audio equipment",24992,27390,28635,28323,28307,29505,32126,31702,35049,36271,36040
"42","                    Recording media",16139,16685,16256,16219,16966,16028,18055,18261,19693,20102,20169
"43","                        Audio discs, tapes, vinyl, and permanent digital downloads",2637,2907,2303,2238,2597,1433,2464,2803,2649,2687,2589
"44","                        Video discs, tapes, and permanent digital downloads",13502,13778,13954,13981,14368,14595,15592,15458,17044,17415,17579
"45","                Photographic equipment",5565,5657,5738,5746,5736,5372,6233,6186,6871,7169,7132
"46","                Information processing equipment",150499,156371,160267,160600,162033,171525,189948,186739,206343,213165,210008
"47","                    Personal computers/tablets and peripheral equipment",53525,54759,55745,55982,57181,60534,67631,66346,73204,75656,74550
"48","                    Computer software and accessories",96204,100819,103719,103821,104037,110063,121348,119445,132111,136468,134433
"49","                    Calculators, typewriters, and other information processing equipment",770,793,803,797,816,928,969,947,1028,1041,1025
"50","            Sporting equipment, supplies, guns, and ammunition (part of 80)",74187,76859,78502,78515,79085,90139,97939,96792,107888,113663,111619
"51","            Sports and recreational vehicles (79)",63104,62599,64570,63709,60993,71520,81991,85812,91706,94817,94258
"52","                Motorcycles",12264,12282,13065,12912,12695,15142,16512,16844,17913,17885,17791
"53","                Bicycles and accessories",6091,6333,6416,6390,6424,7362,8057,7930,8877,9300,8928
"54","                Pleasure boats, aircraft, and other recreational vehicles",44749,43984,45090,44407,41874,49016,57423,61039,64915,67632,67539
"55","                    Pleasure boats",16706,15708,15996,16411,15474,17576,20366,21671,23146,23340,22774
"56","                    Pleasure aircraft",1568,1570,1670,1651,1623,1936,2111,2153,2290,2286,2274
"57","                    Other recreational vehicles",26475,26706,27424,26346,24777,29504,34946,37214,39479,42005,42491
"58","            Recreational books (part of 90)",19031,19615,19187,19648,19119,18637,20906,21270,23208,24544,24892
"59","            Musical instruments (part of 80)",6127,6269,6370,6358,6121,5726,6535,6959,7662,8037,7954
"60","        Other durable goods",214607,217193,219381,219279,208514,163854,228757,233053,261659,279581,283772
