Index,State,State_proper,Crimes per 100k
1,ALABAMA,Alabama,453.6
2,ALASKA,Alaska,837.8
3,ARIZONA,Arizona,484.8
4,ARKANSAS,Arkansas,671.9
5,CALIFORNIA,California,442.0
6,COLORADO,Colorado,423.1
7,CONNECTICUT,Connecticut,181.6
8,DELAWARE,Delaware,431.9
9,DISTRICT OF COLUMBIA,District Of Columbia,999.8
10,FLORIDA,Florida,383.6
11,GEORGIA,Georgia,400.1
12,HAWAII,Hawaii,254.2
13,IDAHO,Idaho,242.6
14,ILLINOIS,Illinois,425.9
15,INDIANA,Indiana,357.7
16,IOWA,Iowa,303.5
17,KANSAS,Kansas,425.0
18,KENTUCKY,Kentucky,259.1
19,LOUISIANA,Louisiana,639.4
20,MAINE,Maine,108.6
21,MARYLAND,Maryland,399.9
22,MASSACHUSETTS,Massachusetts,308.8
23,MICHIGAN,Michigan,478.0
24,MINNESOTA,Minnesota,277.5
25,MISSISSIPPI,Mississippi,291.2
26,MISSOURI,Missouri,542.7
27,MONTANA,Montana,469.8
28,NEBRASKA,Nebraska,334.1
29,NEVADA,Nevada,460.3
30,NEW HAMPSHIRE,New Hampshire,146.4
31,NEW JERSEY,New Jersey,195.4
32,NEW MEXICO,New Mexico,778.3
33,NEW YORK,New York,363.8
34,NORTH CAROLINA,North Carolina,419.3
35,NORTH DAKOTA,North Dakota,329.0
36,OHIO,Ohio,308.8
37,OKLAHOMA,Oklahoma,458.6
38,OREGON,Oregon,291.9
39,PENNSYLVANIA,Pennsylvania,389.5
40,PUERTO RICO,Puerto Rico,164.5
41,RHODE ISLAND,Rhode Island,230.8
42,SOUTH CAROLINA,South Carolina,530.7
43,SOUTH DAKOTA,South Dakota,501.4
44,TENNESSEE,Tennessee,672.7
45,TEXAS,Texas,446.5
46,UTAH,Utah,260.7
47,VERMONT,Vermont,173.4
48,VIRGINIA,Virginia,208.7
49,WASHINGTON,Washington,293.7
50,WEST VIRGINIA,West Virginia,355.9
51,WISCONSIN,Wisconsin,323.4
52,WYOMING,Wyoming,234.2
